delta,theta,alpha,beta,lgamma,hgamma,rsn
9.033047716657157,15.997455721008821,16.14053548550719,24.17243491516815,27.9655322320736,6.690993929585081,SomMot
3.6498001256344628,13.29762866832108,25.763445377070155,20.919161496095533,33.33788266154263,3.032081671336151,SomMot
7.002562303445228,14.276790566973288,23.218837112926625,17.45869975514181,28.09916506497494,9.943945196538106,SomMot
13.875440839238697,16.811833910773206,20.126279879953003,21.61632810859249,25.133247972404632,2.4368692890379773,SomMot
8.622841240183487,12.294522834820784,18.1045061555925,18.999334898355414,33.607888921432725,8.37090594961508,SomMot
12.64565352114621,19.89875121169727,22.72746708062728,17.547062572787738,21.66516874272319,5.515896871018314,SomMot
10.954050012956605,21.17289929002463,29.945905446133477,20.543157012774348,15.453953598767296,1.9300346393436547,SomMot
11.47239840616677,20.293628585764747,17.362394270752198,18.881414126835793,28.14819226774968,3.841972342730822,SomMot
8.472242317288309,29.193657984576387,15.462799069283733,16.59645685912318,27.213166407158173,3.0616773625702183,SomMot
11.93872523170198,14.691033951322774,15.219072129948383,22.759343281909214,33.539331674642796,1.8524937304748494,SomMot
7.784120128071952,16.85806619490314,20.467146449805455,24.091583466357232,28.839021200768123,1.9600625600941044,SomMot
15.228435458792077,22.108503582194576,9.958929670882322,17.842884019961776,32.5516360157499,2.309611252419355,SomMot
15.037982073928443,17.92523097535762,17.44215392476075,19.46697030618722,29.349781251921396,0.7778814678445733,SomMot
24.957387121045556,16.240635481127324,13.721116342021098,18.56718088087499,24.771532059158346,1.7421481157726824,SomMot
24.701671314325534,20.821181902039562,12.419726347208492,41.38134457217401,0.5959739068054819,0.08010195744692752,DorsAttn
5.018140806232167,21.74785907362352,15.529249706629189,55.98337006492795,1.0729809989436248,0.6483993496435612,DorsAttn
4.9928157156892325,18.467184749172446,16.193112611406956,56.755168917860374,1.9736076485001843,1.6181103573707996,DorsAttn
7.9438178258774,19.62614052984236,16.406680663619316,54.13760977363694,0.691765477018473,1.1939857300055097,DorsAttn
13.982049577917527,21.524248164796404,20.78572282302396,34.12502287938873,4.756429884720618,4.826526670152761,DorsAttn
25.208331729156626,27.77772878837389,18.486349561828945,24.924551215159386,2.7201248450646647,0.8829138604164828,DorsAttn
14.98315360189595,28.376990764410653,17.700287635219876,29.24735997439061,6.710929907322615,2.9812781167603006,DorsAttn
12.99735585656471,23.87868449183553,25.171821633657483,27.55280140185765,6.3769830303094865,4.022353585775142,DorsAttn
15.23690650284594,32.91688129860128,19.084341772755923,26.410057678420394,4.8004014624124,1.55141128496406,DorsAttn
17.25570929214292,32.47534475181664,28.44812868973009,14.611801719515109,4.787111290790107,2.4219042560051336,DorsAttn
10.167370128005361,25.251778315336793,21.32554645309903,27.49597504707434,12.479766625823544,3.279563430660933,DorsAttn
14.306698854260693,24.80043203723455,27.19764634790923,20.67610947110248,11.57792768385382,1.4411856056392174,DorsAttn
11.636610750840374,29.651223207403522,16.38861121596225,26.391217801207873,13.356893304953418,2.5754437196325624,DorsAttn
16.62351732636504,28.34877202094112,27.106921536513234,14.843192743170949,8.373070287846614,4.704526085163038,DorsAttn
15.958819028203171,30.379558788232508,15.983282234248165,22.650423140963003,12.836391201575372,2.191525606777785,DorsAttn
15.752060102867638,23.289143708319997,14.846706431643309,23.671914174725693,21.20572416702248,1.234451415420871,DorsAttn
13.414507091673784,23.34568565234206,14.183765301496237,24.931003923362724,23.152339894298148,0.9726981368270395,DorsAttn
10.689464631769427,20.68029718471009,18.794260172737644,51.193135911821706,0.6788323034187234,-2.0359902044576033,DorsAttn
4.783179311602033,13.06757103558498,28.954081931844893,36.3069495298947,10.824272887476738,6.063945303596661,DorsAttn
6.0552609712375105,31.504844993055492,29.980461674703555,24.346669584085422,4.22243046071998,3.8903323161980397,DorsAttn
5.364949675507986,9.51640753860611,31.213102481378556,40.19264040817972,8.399697301667233,5.313202594660392,DorsAttn
6.800634614430972,11.203349716196026,15.267680013332235,58.83386143828957,4.239357016340787,3.65511720141041,DorsAttn
27.504485006291485,8.354816018224168,23.697876882272023,37.232981179691855,2.025639909690446,1.1842010038300175,DorsAttn
6.208912193529156,11.23902991833179,8.469338862819404,53.619429905562264,11.490408351175004,8.972880768582394,SalVentAttn
