R-squared,rsn
0.2004400983586354,DorsAttn
0.2546564996950019,DorsAttn
0.2931248801326024,DorsAttn
0.1755921555663652,DorsAttn
0.19533393133829535,DorsAttn
0.30020247891208285,DorsAttn
0.20077301855879515,DorsAttn
0.32809565174483657,DorsAttn
0.21100699192449457,DorsAttn
0.27656191110071393,DorsAttn
0.31055845295799445,DorsAttn
0.3616809339593545,DorsAttn
0.04219175213756454,DorsAttn
0.1380290041355412,DorsAttn
0.10509945564319301,DorsAttn
0.12398651592067622,DorsAttn
0.1853450226281722,DorsAttn
0.12043523675912793,DorsAttn
0.17330753462665704,SalVentAttn
0.13849019694796372,SalVentAttn
0.21352862256049354,SalVentAttn
0.12472331713705054,SalVentAttn
0.23756275761225454,SalVentAttn
0.23074229457143025,SalVentAttn
0.15630639094465093,SalVentAttn
0.1666182866607926,SalVentAttn
0.17297939669770934,SalVentAttn
0.17864764414146161,SalVentAttn
0.17604691728501165,SalVentAttn
0.21935783957446797,SalVentAttn
0.25906591501111065,SalVentAttn
0.23093829818375966,SalVentAttn
0.1519092405125051,SalVentAttn
0.07502906179342317,SalVentAttn
0.18049735340437434,SalVentAttn
0.15167378856087,SalVentAttn
0.11034798446685379,SalVentAttn
0.17557343157711436,SalVentAttn
0.25399701056859747,SalVentAttn
0.1416464041393255,SalVentAttn
0.13054921080610138,Limbic
0.07335367869502052,Limbic
0.18383838964336396,Limbic
0.034325462319773514,Limbic
0.18010795009691127,Limbic
0.08083714982358636,Limbic
0.1890945075723991,Limbic
0.1482021695756225,Limbic
0.27374377380275905,Limbic
0.1574597803943879,Limbic
0.07335357498364992,Limbic
0.06871589839738668,Limbic
0.13325902389743627,Limbic
0.1958951829643083,Cont
0.06767926002678215,Cont
0.07579763291578179,Cont
0.14663189589471082,Cont
0.12306035602599752,Cont
0.12556298356201756,Cont
0.11514798562048545,Cont
0.06415333719207961,Cont
0.20722370344880214,Cont
0.1816800898943992,Cont
0.09136187981093302,Cont
0.12000644477897981,Cont
0.09239375583440468,Cont
0.19475929215462506,Cont
0.08472528617546204,Cont
0.1127838788549832,Cont
0.03384942850909778,Cont
0.15410886535064572,Cont
0.24244749412770294,Cont
0.09676833014621433,Cont
0.06186212703908689,Cont
0.09554417051300124,Cont
0.07088919221208712,Default
0.06856153966661738,Default
0.09123091098945946,Default
0.0793930159598758,Default
0.15310572441933923,Default
0.05357199555869452,Default
0.0654081759772206,Default
0.12438558744252604,Default
0.1306634527082935,Default
0.08568778097238217,Default
0.12064294982879842,Default
0.026932980637434434,Default
0.3034392382811415,Default
0.027352966654813016,Default
0.024073661742190833,Default
0.0880737226091366,Default
0.08334156991359232,Default
0.03582550328669254,Default
0.1395327934591768,Default
0.0990000387050296,Default
